objname,dist_mpc,glat,n_candidates,bg_density,central_density,contrast,excess_central,significance
MESSIER 087,16.85776517828977,74.49115453910551,1076,261.6726323340347,5924.374534707769,22.64040561622466,82.20148148148148,42.17669263365537
MESSIER 104,9.55,51.14924844632753,2945,272.3714019693134,3095.1295678331066,11.363636363636363,127.67999999999999,36.37621600591643
MESSIER 060,16.6571232806881,74.31775761986307,828,204.0658040565901,2757.578675422916,13.513183593750002,37.96592592592593,21.79620612441129
NGC 1399,20.739582044538317,-53.63586625891352,588,227.99569140787256,3545.054957866312,15.548780487804883,31.813333333333333,21.513837483164934
NGC 1316,19.76969640111861,-56.69016585371814,460,190.88824749091836,2463.300546665894,12.904411764705879,23.985185185185184,16.897618787780946
MESSIER 085,17.741894808901662,79.23721946311622,579,189.0064197315214,915.6411482208871,4.844497607655502,9.522962962962962,6.050703126819482
NGC 4699,19.453600816226633,54.20259275372384,644,244.63173052849416,1100.8427873782236,4.5,9.333333333333332,5.715476066494081
NGC 4546,14.216739313080032,58.8398679893169,1066,236.91384026781705,587.9295668410904,2.4816176470588247,7.164444444444446,3.258061896321408
NGC 1553,18.046791465567217,-43.69130526846825,687,227.83961336194565,631.5882505926625,2.7720739219712525,5.1140740740740736,3.0104015183519857
NGC 3923,21.777097723531604,32.22259651447907,521,263.63996103128903,689.7557120004657,2.6162790697674425,3.7066666666666674,2.447653519585235
NGC 2841,14.662229061058069,44.15131931294787,945,222.34776593738107,312.67654584944194,1.4062499999999991,1.7333333333333307,0.8391463916782721
NGC 4753,24.479356661960654,61.67125273576919,458,296.974642931837,435.77800864997835,1.4673913043478264,0.9555555555555562,0.6682951125722253
NGC 0253,3.7,-87.96389171492986,2939,0.0,1473.4332752418318,,444.0,0.0
MESSIER 081,3.7,40.90005688963208,2517,0.0,786.4947888115183,,237.0,0.0
NGC 2974,22.428488158692858,35.01421079392015,507,265.1956145479536,243.87880084450768,0.919618528610354,-0.1748148148148152,-0.11854059235351966
NGC 1549,19.098532585662387,-43.801479971771705,638,247.31033879076477,176.83737148704057,0.7150423728813563,-0.7970370370370357,-0.476572956429284
NGC 1400,24.366884234595855,-50.57325481902767,301,191.0505499158184,0.0,0.0,-1.3274074074074083,-1.1521316797169532
